Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
898,house,independent,sector 26,6.75,27778.0,3,3,3,2.0,Moderately Old,2430.0,0,0,0,0,0,0,27
899,flat,dlf regal gardens,sector 90,1.27,5498.0,3,3,3+,2.0,Relatively New,1500.0,0,0,0,0,1,0,72
900,flat,unitech heritage city,sector 14,4.26,13108.0,4,4,0,9.0,Old Property,3250.0,0,0,0,0,0,0,0
901,house,independent,sector 56,2.99,20635.0,4,4,2,2.0,Moderately Old,1449.0,1,1,0,1,0,1,49
902,flat,sidhartha ncr greens,sector 95,0.56,5657.0,2,2,3,13.0,New Property,896.0,0,0,0,0,0,0,8
903,flat,dlf royalton tower,sector 43,6.5,20687.0,4,4,3+,9.0,Moderately Old,2712.0,0,1,0,0,0,0,7
904,flat,unitech sunbreeze,sector 69,0.74,5502.0,3,3,1,10.0,Under Construction,1210.0,0,1,0,0,0,0,60
905,flat,tulip ivory,sector 70,2.0,8333.0,4,5,3+,2.0,Relatively New,2172.0,0,1,0,0,0,1,49
906,flat,sare homes,sector 92,1.18,5207.0,4,4,3,8.0,Relatively New,2518.0,0,1,0,0,0,0,108
907,house,4s aradhya homes,sector 67a,1.83,6778.0,4,4,2,4.0,New Property,2700.0,0,0,0,1,0,1,145
908,flat,m3m merlin,sector 67,3.39,14377.0,3,4,3,14.0,Relatively New,2100.0,0,1,0,0,0,1,26
909,flat,conscient elevate,sector 59,6.75,19882.0,4,4,2,10.0,New Property,2567.0,0,1,0,0,0,0,31
910,flat,emaar mgf emerald floors premier,sector 65,2.24,13576.0,3,3,3,2.0,Relatively New,1833.0,1,1,0,0,0,0,46
911,house,independent,sector 12,0.9,13333.0,4,4,0,2.0,Old Property,675.0,0,0,0,0,0,0,0
912,house,independent,sector 82,7.5,23148.0,5,5,3+,2.0,Relatively New,3240.0,0,1,0,1,0,1,135
913,flat,silverglades the melia,sohna road,0.78,5778.0,2,2,3,9.0,Under Construction,1222.0,1,0,0,0,0,0,72
914,flat,ashiana mulberry,sohna road,1.07,6185.0,3,3,3+,7.0,Relatively New,1600.0,0,0,0,0,0,0,167
915,flat,ss the leaf,sector 85,1.25,7180.0,2,2,3,10.0,Relatively New,1730.0,0,0,0,0,0,0,49
917,flat,dlf regal gardens,sector 90,1.26,7403.0,3,3,3,6.0,Relatively New,1603.0,0,0,0,0,1,1,28
918,house,sector 14 rwa,sector 14,5.51,16990.0,3,3,2,4.0,Moderately Old,3249.0,0,0,0,0,0,0,14
919,house,independent,sector 26,18.25,18250.0,7,9,3+,4.0,Relatively New,11111.0,1,1,1,1,0,1,77
920,house,ansal heights,sector 92,2.75,9793.0,4,4,3+,3.0,Relatively New,5000.0,1,0,0,1,0,0,0
921,house,independent,sector 8,0.45,9000.0,1,1,1,3.0,Moderately Old,556.0,0,0,0,0,0,0,0
