,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
2974,house,independent,sector 43,5.75,29716.0,1935.0,Plot area 215(179.77 sq.m.),4,4,2,2.0,North,Old Property,,1935.0,,0,1,1,1,0,0,34
2976,flat,ambience lagoon,sector 24,4.25,13281.0,3200.0,Super Built up area 3200(297.29 sq.m.)Carpet area: 3156 sq.ft. (293.2 sq.m.),3,4,3+,3.0,North-East,Old Property,3200.0,,3156.0,0,1,0,1,0,1,143
2977,flat,green court,sector 90,0.45,7188.0,626.0,Carpet area: 626 (58.16 sq.m.),2,2,1,2.0,,New Property,,,626.0,0,0,0,0,0,1,42
2978,flat,imperia the esfera,sector 37c,1.1,5405.0,2035.0,Super Built up area 2035(189.06 sq.m.)Carpet area: 1760 sq.ft. (163.51 sq.m.),3,4,3,9.0,West,Relatively New,2035.0,,1760.0,1,1,0,0,0,0,49
2979,flat,bptp terra,sector 37d,1.5,8255.0,1817.0,Super Built up area 1811(168.25 sq.m.)Carpet area: 1560 sq.ft. (144.93 sq.m.),3,3,3,12.0,South-West,Relatively New,1811.0,,1560.0,0,0,0,0,1,0,49
2980,flat,orchid island,sector 51,0.71,7889.0,900.0,Carpet area: 906 (84.17 sq.m.),2,2,1,4.0,,Relatively New,,,906.0,0,0,0,0,0,0,23
2981,flat,shapoorji pallonji joyville gurugram,sector 102,1.26,10370.0,1215.0,Super Built up area 1215(112.88 sq.m.),2,2,3,7.0,East,Relatively New,1215.0,,,0,0,0,0,0,1,49
2984,flat,indiabulls enigma,sector 110,4.1,10567.0,3880.0,Super Built up area 3880(360.46 sq.m.)Built Up area: 3500 sq.ft. (325.16 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),5,5,2,10.0,East,Relatively New,3880.0,3500.0,3000.0,0,1,0,0,0,0,159
2985,flat,"ganpati apartment  2, laxman vihar phase 1",sector 4,0.45,4707.0,956.0,Carpet area: 850 (78.97 sq.m.),2,2,1,0.0,East,Relatively New,,,850.0,0,0,0,0,0,0,46
2986,flat,tulip violet,sector 69,1.43,8888.0,1609.0,Super Built up area 1608(149.39 sq.m.)Carpet area: 1039 sq.ft. (96.53 sq.m.),3,3,2,1.0,South-West,Relatively New,1608.0,,1039.0,0,0,0,1,0,0,86
2987,flat,puri diplomatic greens,sector 111,3.7,12542.0,2950.0,Super Built up area 2950(274.06 sq.m.)Built Up area: 2650 sq.ft. (246.19 sq.m.)Carpet area: 2450 sq.ft. (227.61 sq.m.),4,5,3+,12.0,South-East,Relatively New,2950.0,2650.0,2450.0,0,1,0,0,0,1,158
2988,house,independent,sector 57,3.3,19097.0,1728.0,Plot area 192(160.54 sq.m.),4,4,2,3.0,South-East,Moderately Old,,1728.0,,0,0,1,0,0,1,60
2989,flat,dlf regal gardens,sector 90,1.7,7222.0,2354.0,Super Built up area 2215(205.78 sq.m.),4,4,3+,15.0,North-West,Moderately Old,2215.0,,,0,1,0,0,0,0,38
