,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
1761,flat,ats kocoon,sector 109,1.7,9742.0,1745.0,Super Built up area 1745(162.12 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,3,3,21.0,West,Moderately Old,1745.0,1550.0,1250.0,0,0,0,0,0,0,49
1762,house,bptp visionnaire,sector 70a,4.0,6666.0,6001.0,Plot area 6000(557.42 sq.m.),4,4,3+,2.0,North-East,Relatively New,,6000.0,,0,1,0,0,0,0,154
1763,house,independent,sector 8,0.82,9111.0,900.0,Plot area 100(83.61 sq.m.),4,3,3,2.0,North,Moderately Old,,900.0,,0,0,0,0,0,0,12
1764,flat,bestech park view city,sector 48,1.8,10251.0,1756.0,Carpet area: 1756 (163.14 sq.m.),3,4,3,3.0,North-West,Moderately Old,,,1756.0,1,0,0,0,0,1,76
1765,flat,breez global heights,sohna road,0.4,6421.0,623.0,Super Built up area 623(57.88 sq.m.)Carpet area: 599 sq.ft. (55.65 sq.m.),2,2,1,4.0,North-East,New Property,623.0,,599.0,0,0,0,0,0,0,49
1766,flat,vatika the seven lamps,sector 82,0.78,5932.0,1315.0,Super Built up area 1298(120.59 sq.m.),2,2,2,0.0,North-West,Relatively New,1298.0,,,0,0,0,0,0,1,103
1767,flat,bptp terra,sector 37d,1.45,8007.0,1811.0,Super Built up area 1811(168.25 sq.m.),3,3,3,9.0,North-East,Relatively New,1811.0,,,0,0,0,0,0,0,107
1768,flat,green court,new,0.38,5507.0,690.0,Carpet area: 690 (64.1 sq.m.),2,2,1,7.0,,Under Construction,,,690.0,0,0,0,0,0,0,35
1769,flat,corona optus,sector 37c,1.44,7251.0,1986.0,Carpet area: 1990 (184.88 sq.m.),3,3,3+,8.0,North-West,New Property,,,1990.0,0,1,0,0,0,0,37
1770,flat,vatika the seven lamps,sector 82,1.0,6969.0,1435.0,Super Built up area 1435(133.32 sq.m.),2,2,2,14.0,,Relatively New,1435.0,,,1,0,0,0,1,0,69
1771,flat,experion the heartsong,sector 108,1.2,6826.0,1758.0,Super Built up area 1758(163.32 sq.m.)Built Up area: 1275.53 sq.ft. (118.5 sq.m.)Carpet area: 974.68 sq.ft. (90.55 sq.m.),3,3,3+,10.0,South,Relatively New,1758.0,1275.53,974.68,1,0,0,0,0,0,93
1772,flat,vatika city homes,sector 83,1.05,8571.0,1225.0,Super Built up area 1740(161.65 sq.m.)Carpet area: 1225 sq.ft. (113.81 sq.m.),3,3,3,8.0,South-East,Moderately Old,1740.0,,1225.0,0,0,0,1,0,1,103
1773,house,ansal sushant lok,sector 43,10.5,27911.0,3762.0,Plot area 418(349.5 sq.m.),4,4,2,,North-East,Old Property,,3762.0,,0,1,0,0,0,0,59
1774,flat,greenopolis,sector 89,0.8,4819.0,1660.0,Super Built up area 1660(154.22 sq.m.),2,3,3,8.0,,Under Construction,1660.0,,,1,0,0,0,1,0,60
1775,flat,ireo skyon,sector 60,2.5,16129.0,1550.0,Super Built up area 1550(144 sq.m.),2,3,2,4.0,North-West,Relatively New,1550.0,,,1,0,0,0,0,0,100
1776,flat,bptp terra,sector 37d,1.65,8791.0,1877.0,Super Built up area 1877(174.38 sq.m.),3,3,2,15.0,East,Relatively New,1877.0,,,0,0,0,0,0,0,116
1777,flat,m3m heights,sector 65,2.1,16653.0,1261.0,Super Built up area 1261(117.15 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2,2,3,8.0,,New Property,1261.0,,800.0,0,0,0,0,0,0,31
1778,flat,smart world orchard,sector 61,1.7,15004.0,1133.0,Carpet area: 1150 (106.84 sq.m.),2,2,2,4.0,,Under Construction,,,1150.0,0,0,0,0,0,0,24
1779,flat,emaar mgf emerald floors premier,sector 65,2.36,14303.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,2.0,North-East,Relatively New,1650.0,,1400.0,1,1,0,0,0,1,136
1780,flat,ireo skyon,sector 60,2.65,13125.0,2019.0,Super Built up area 2045(189.99 sq.m.)Built Up area: 2037 sq.ft. (189.24 sq.m.)Carpet area: 2019 sq.ft. (187.57 sq.m.),3,4,3+,7.0,North-East,Moderately Old,2045.0,2037.0,2019.0,0,1,0,0,0,1,152
1781,flat,tulip violet,sector 69,1.36,8619.0,1578.0,Super Built up area 1578(146.6 sq.m.),3,3,2,12.0,West,Relatively New,1578.0,,,0,0,0,1,0,1,49
1782,house,international city by sobha phase 1,sector 109,5.9,24280.0,2430.0,Plot area 270(225.75 sq.m.),4,5,2,2.0,East,Relatively New,,2430.0,,0,1,0,0,0,1,111
1783,flat,bajrang apartments,sector 6,0.38,4471.0,850.0,Carpet area: 850 (78.97 sq.m.),2,2,2,1.0,,Moderately Old,,,850.0,0,0,0,0,0,0,0
1784,flat,ss the leaf,sector 85,2.1,7468.0,2812.0,Super Built up area 2812(261.24 sq.m.),4,5,3+,9.0,East,Relatively New,2812.0,,,0,0,0,0,0,1,67
1786,flat,unitech sunbreeze,sector 69,0.75,6849.0,1095.0,Super Built up area 1095(101.73 sq.m.),2,2,2,4.0,,Under Construction,1095.0,,,0,0,0,0,0,0,0
1787,house,independent,sector 43,6.5,35403.0,1836.0,Plot area 215(179.77 sq.m.)Built Up area: 215 sq.yards (179.77 sq.m.),5,4,3+,3.0,South-East,Moderately Old,,215.0,,0,1,0,1,0,1,54
1788,flat,emaar mgf the palm drive,sector 66,3.4,15455.0,2200.0,Super Built up area 2200(204.39 sq.m.),3,4,3,9.0,East,Relatively New,2200.0,,,0,1,1,0,0,1,96
1789,flat,tulsiani easy in homes,sohna road,0.4,6723.0,595.0,Carpet area: 595 (55.28 sq.m.),2,2,3,12.0,,New Property,,,595.0,0,0,0,0,0,0,36
1790,flat,afnhb jalvayu vihar,sector 30,0.85,12859.0,661.0,Carpet area: 661 (61.41 sq.m.),2,2,1,2.0,West,Old Property,,,661.0,0,0,0,0,1,1,49
1791,flat,afnhb jalvayu vihar,sector 30,0.69,7271.0,949.0,Super Built up area 990(91.97 sq.m.),2,2,1,3.0,North-East,Old Property,990.0,,,0,0,0,0,0,0,65
1792,house,independent,sector 8,0.62,11273.0,550.0,Built Up area: 550 (51.1 sq.m.),3,1,0,2.0,,Undefined,,550.0,,0,0,0,0,0,0,0
1793,flat,raheja sampada,sector 92,0.9,6569.0,1370.0,Super Built up area 1370(127.28 sq.m.),3,2,3,11.0,East,Relatively New,1370.0,,,0,0,0,0,0,0,88
1795,flat,ss the leaf,sector 85,1.25,7180.0,1741.0,Carpet area: 1741 (161.74 sq.m.),2,2,2,16.0,North,Relatively New,,,1741.0,0,0,0,0,0,1,49
1797,flat,m3m ikonic,sector 68,1.78,9128.0,1950.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1845 sq.ft. (171.41 sq.m.)Carpet area: 1530 sq.ft. (142.14 sq.m.),3,3,3+,27.0,South,Relatively New,1950.0,1845.0,1530.0,0,0,0,0,0,1,126
1798,house,independent,sector 45,8.5,26235.0,3240.0,Plot area 360(301.01 sq.m.),5,4,2,1.0,North-East,Moderately Old,,3240.0,,0,1,0,1,0,1,49
1799,flat,orris aster court premier,sector 85,1.25,5896.0,2120.0,Super Built up area 2120(196.95 sq.m.)Built Up area: 1616 sq.ft. (150.13 sq.m.),3,4,2,6.0,East,Relatively New,2120.0,1616.0,,0,1,0,0,0,1,49
1800,house,independent,sector 7,1.75,11111.0,1575.0,Plot area 1575(146.32 sq.m.),4,2,2,2.0,,Old Property,,1575.0,,0,0,0,0,1,0,31
1801,flat,ats triumph,sector 104,2.6,8254.0,3150.0,Super Built up area 3150(292.64 sq.m.),4,4,3+,12.0,South,Relatively New,3150.0,,,0,1,0,0,0,0,118
1802,flat,emaar palm gardens,sector 83,1.73,9105.0,1900.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3,3,3,5.0,West,Relatively New,1900.0,1600.0,1240.04,0,1,0,0,0,1,174
1803,house,independent,sector 13,0.45,4808.0,936.0,Built Up area: 936 (86.96 sq.m.),1,1,0,1.0,,Undefined,,936.0,,0,0,0,0,0,0,0
1804,house,independent,sector 3,0.37,7923.0,467.0,Built Up area: 480 (44.59 sq.m.),1,1,1,1.0,,Relatively New,,480.0,,0,0,0,0,0,0,0
1805,flat,bestech park view residency,sector 2,1.01,7138.0,1415.0,Super Built up area 1415(131.46 sq.m.),2,2,3,0.0,East,Moderately Old,1415.0,,,0,0,0,0,0,0,92
1806,flat,unitech fresco,sector 50,1.8,9590.0,1877.0,Super Built up area 1877(174.38 sq.m.)Built Up area: 1870 sq.ft. (173.73 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,4,3+,6.0,North-East,Moderately Old,1877.0,1870.0,1600.0,0,1,0,0,0,1,174
1807,flat,vipul world,sector 48,1.38,9485.0,1455.0,Carpet area: 1450 (134.71 sq.m.),3,3,1,2.0,,Relatively New,,,1450.0,0,0,0,0,0,0,60
1808,house,experion windchants,sector 112,7.46,10260.0,7271.0,Built Up area: 6350 (589.93 sq.m.),4,4,3+,2.0,East,Relatively New,,6350.0,,0,1,0,1,0,1,62
1809,flat,corona optus,sector 37c,1.25,8929.0,1400.0,Super Built up area 1735(161.19 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,2.0,South-East,Relatively New,1735.0,,1400.0,1,0,0,0,0,0,49
1810,flat,bestech park view grand spa,sector 81,2.29,8609.0,2660.0,Super Built up area 2660(247.12 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,4,3+,10.0,North-East,Relatively New,2660.0,,2000.0,1,1,0,0,0,2,174
1811,flat,bestech park view grand spa,sector 81,3.0,9419.0,3185.0,Super Built up area 3185(295.9 sq.m.),4,5,2,6.0,South,Relatively New,3185.0,,,0,1,0,0,0,1,110
1812,flat,corona optus,sector 37c,1.26,7250.0,1738.0,Super Built up area 1735(161.19 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 965 sq.ft. (89.65 sq.m.),3,3,3,4.0,North-East,New Property,1735.0,1400.0,965.0,0,0,0,0,0,0,28
1813,house,u block dlf phase 3 road no 21,sector 24,1.6,3292.0,4860.0,Plot area 60(50.17 sq.m.),7,5,3+,4.0,,Old Property,,540.0,,0,0,0,0,0,0,0
1814,flat,ats triumph,sector 104,1.73,7555.0,2290.0,Super Built up area 2290(212.75 sq.m.),3,4,3+,15.0,North-East,Relatively New,2290.0,,,0,1,0,0,0,0,159
1815,flat,dlf regal gardens,sector 90,1.25,6460.0,1935.0,Super Built up area 1703(158.21 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,10.0,South,Relatively New,1703.0,1650.0,1600.0,0,0,0,0,1,1,38
1816,flat,shree vardhman victoria,sector 70,1.8,9231.0,1950.0,Carpet area: 1950 (181.16 sq.m.),3,5,3,0.0,,New Property,,,1950.0,0,0,0,0,0,0,72
1817,flat,mapsko paradise,sector 83,0.95,6300.0,1508.0,Carpet area: 1340 (124.49 sq.m.),3,3,3,1.0,,Moderately Old,,,1340.0,0,0,0,0,0,0,0
1818,house,independent,sector 50,10.45,38704.0,2700.0,Plot area 2700(250.84 sq.m.)Built Up area: 4000 sq.ft. (371.61 sq.m.),4,5,2,3.0,North,Moderately Old,,4000.0,,1,1,0,1,0,1,142
1819,house,independent,sector 8,0.49,11239.0,436.0,Plot area 360(33.45 sq.m.),6,3,2,3.0,East,Moderately Old,,360.0,,0,0,0,0,0,0,8
1820,flat,dlf the ultima,sector 81,2.5,11726.0,2132.0,Super Built up area 2132(198.07 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,2,20.0,West,Relatively New,2132.0,1700.0,1350.0,0,1,0,0,0,2,174
1822,house,international city by sobha phase 1,sector 109,6.75,10838.0,6228.0,Plot area 692(578.6 sq.m.),4,4,3+,2.0,North-East,New Property,,6228.0,,0,1,0,1,0,0,130
1823,flat,signature global the millennia,sector 37d,0.55,9167.0,600.0,Super Built up area 600(55.74 sq.m.),2,2,3,3.0,,New Property,600.0,,,0,0,0,0,0,0,53
1824,flat,dlf regal gardens,sector 90,1.8,7223.0,2492.0,Super Built up area 2215(205.78 sq.m.),4,4,3+,7.0,South-West,Moderately Old,2215.0,,,0,0,0,0,0,0,38
1825,flat,capital residences 360,sector 70a,1.69,8553.0,1976.0,Super Built up area 1976(183.58 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,3,3+,8.0,North-East,New Property,1976.0,1900.0,1650.0,0,1,0,0,0,0,165
1826,flat,tulip violet,sector 69,1.65,8871.0,1860.0,Built Up area: 1578 (146.6 sq.m.),3,3,2,1.0,,Relatively New,,1578.0,,0,0,0,0,0,1,69
1827,house,anamika enclave,sector 12,6.0,14493.0,4140.0,Plot area 4140(384.62 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.),9,9,3+,3.0,North-West,Old Property,,9000.0,,0,0,0,0,0,0,9
1829,flat,central park flower valley,sector 33,1.4,21538.0,650.0,Super Built up area 650(60.39 sq.m.),3,3,3,2.0,,Under Construction,650.0,,,0,0,0,0,0,0,54
1830,flat,tulip violet,sector 69,1.75,8883.0,1970.0,Super Built up area 1970(183.02 sq.m.),4,4,1,12.0,North-West,Relatively New,1970.0,,,0,0,0,0,0,0,86
1831,flat,signature the roselia,sector 95,0.41,7295.0,562.0,Built Up area: 670 (62.25 sq.m.)Carpet area: 569 sq.ft. (52.86 sq.m.),2,2,2,12.0,South,New Property,,670.0,569.0,0,0,0,0,0,1,93
1832,flat,godrej nature plus,sector 33,1.2,14371.0,835.0,Carpet area: 77.53,2,2,3,1.0,,New Property,,,77.53,0,0,0,0,0,0,65
1833,flat,supertech hues,sector 68,0.8,6780.0,1180.0,Built Up area: 1180 (109.63 sq.m.),2,2,3+,14.0,,New Property,,1180.0,,0,0,0,0,0,1,26
1834,house,dlf city plots phase 2,sector 25,7.5,31686.0,2367.0,Plot area 215(179.77 sq.m.),9,9,3+,4.0,West,Relatively New,,2300.5,,1,1,0,1,0,1,160
1835,house,rattan garden,sector 7,0.83,17585.0,472.0,Carpet area: 472 (43.85 sq.m.),5,3,2,3.0,East,Undefined,,,472.0,0,0,0,0,0,0,0
1836,flat,m3m woodshire,sector 107,0.88,6442.0,1366.0,Super Built up area 1366(126.91 sq.m.),2,2,3+,3.0,East,Relatively New,1366.0,,,0,0,0,0,0,0,99
1838,house,indiabulls centrum park,sector 103,3.25,8125.0,4000.0,Plot area 4000(371.61 sq.m.),4,3,3+,20.0,,Under Construction,,4000.0,,0,0,0,0,0,0,51
1839,flat,gls avenue 51,sector 92,0.42,7107.0,591.0,Carpet area: 591 (54.91 sq.m.),2,2,1,4.0,East,Relatively New,,,591.0,1,0,0,1,0,1,42
1840,flat,ild greens,sector 37c,0.78,5714.0,1365.0,Super Built up area 1365(126.81 sq.m.)Built Up area: 1068.1 sq.ft. (99.23 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,3,1.0,North,Moderately Old,1365.0,1068.1,900.0,0,0,0,0,0,1,103
1841,flat,smart world orchard,sector 61,2.41,14785.0,1630.0,Built Up area: 1630 (151.43 sq.m.)Carpet area: 1625 sq.ft. (150.97 sq.m.),3,3,3,2.0,East,New Property,,1630.0,1625.0,0,0,0,0,0,0,61
1842,house,ss hibiscus,sector 50,12.5,40850.0,3060.0,Plot area 470(392.98 sq.m.)Built Up area: 410 sq.yards (342.81 sq.m.)Carpet area: 340 sq.yards (284.28 sq.m.),4,4,3+,2.0,West,Relatively New,,410.0,340.0,1,1,0,0,0,2,160
1843,flat,maxworth city residences,sector 10a,0.9,7081.0,1271.0,Super Built up area 1200(111.48 sq.m.),2,2,3,9.0,East,New Property,1200.0,,,0,0,0,0,1,0,52
1844,flat,unitech uniworld city,sector 30,3.55,14992.0,2368.0,Super Built up area 2368(219.99 sq.m.)Built Up area: 2367 sq.ft. (219.9 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,5,3+,16.0,North,Old Property,2368.0,2367.0,2000.0,0,1,0,0,0,1,141
1845,flat,breez global heights,sohna road,0.46,6479.0,710.0,Carpet area: 710 (65.96 sq.m.),2,2,2,6.0,East,Relatively New,,,710.0,0,0,0,0,0,2,49
1846,house,ss aaron ville,sector 49,6.75,19737.0,3420.0,Plot area 380(317.73 sq.m.),5,4,2,2.0,North,Old Property,,3420.0,,1,1,1,0,0,0,78
1847,flat,parsvnath exotica,sector 53,4.8,14679.0,3270.0,Built Up area: 2895 (268.95 sq.m.),3,4,3+,12.0,North-West,New Property,,2895.0,,0,0,0,0,0,0,69
1849,flat,hsiidc sidco aravali,manesar,0.9,3648.0,2467.0,Super Built up area 2467(229.19 sq.m.),4,4,3,7.0,,Moderately Old,2467.0,,,0,0,0,0,0,0,0
1850,flat,aditya apartment,manesar,1.0,4032.0,2480.0,Built Up area: 2480 (230.4 sq.m.),3,4,0,3.0,,New Property,,2480.0,,0,0,0,0,0,0,0
1851,flat,adani m2k oyster grande,sector 102,2.5,7817.0,3198.0,Super Built up area 3198(297.1 sq.m.),4,5,3+,5.0,South,Relatively New,3198.0,,,0,1,0,0,0,0,76
1852,house,independent,sector 38,2.1,23333.0,900.0,Plot area 100(83.61 sq.m.),7,7,3+,3.0,North-East,Relatively New,,900.0,,1,0,1,1,0,0,27
1853,flat,paras dews,sector 106,1.17,6648.0,1760.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,12.0,West,Relatively New,1760.0,1186.0,1130.0,0,1,0,0,0,0,49
1854,flat,m3m merlin,sector 67,3.4,14419.0,2358.0,Super Built up area 2358(219.07 sq.m.)Carpet area: 1708 sq.ft. (158.68 sq.m.),3,4,3,16.0,North-West,Relatively New,2358.0,,1708.0,0,1,0,0,0,1,174
1855,flat,ansal heights,sector 92,0.72,4500.0,1600.0,Super Built up area 1935(179.77 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,9.0,South-West,Relatively New,1935.0,1700.0,1600.0,0,1,0,0,0,0,49
1856,flat,dlf regal gardens,sector 90,1.65,7449.0,2215.0,Super Built up area 2215(205.78 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),4,4,3+,8.0,East,Relatively New,2215.0,1900.0,1700.0,0,0,0,0,1,0,79
1857,house,independent,sector 4,0.92,15257.0,603.0,Plot area 67(56.02 sq.m.),4,4,3,4.0,East,Moderately Old,,603.0,,0,0,0,0,1,0,0
1858,house,bptp visionnaire,sector 70a,4.6,17625.0,2610.0,Plot area 290(242.48 sq.m.),4,4,3+,3.0,North,Moderately Old,,2610.0,,1,1,1,1,0,0,96
1859,flat,ansal heights 86,sector 86,0.95,5621.0,1690.0,Carpet area: 1690 (157.01 sq.m.),3,2,1,6.0,,New Property,,,1690.0,0,0,0,0,0,0,15
1860,flat,sare crescent parc,sector 92,0.66,4977.0,1326.0,Carpet area: 1326 (123.19 sq.m.),3,2,2,15.0,North,Relatively New,,,1326.0,0,0,0,0,0,2,44
1861,flat,breez global hill view,sohna road,2.6,5215.0,4986.0,Carpet area: 554.16 (51.48 sq.m.),2,2,2,6.0,,New Property,,,554.1255719999999,0,0,0,0,0,0,42
1862,house,independent,sector 3,0.6,6000.0,1000.0,Built Up area: 1000 (92.9 sq.m.),1,1,0,1.0,,Undefined,,1000.0,,0,0,0,0,0,0,0
1863,flat,suncity avenue,sector 102,0.48,9023.0,532.0,Super Built up area 632(58.71 sq.m.)Carpet area: 532 sq.ft. (49.42 sq.m.),2,2,1,5.0,North-East,Relatively New,632.0,,532.0,0,0,1,0,0,0,159
1864,house,dlf city plots,sector 26,13.5,29880.0,4518.0,Plot area 502(419.74 sq.m.),5,5,3,2.0,East,Old Property,,4518.0,,1,1,1,1,0,1,110
1865,flat,dlf regal gardens,sector 90,1.13,6647.0,1700.0,Super Built up area 1730(160.72 sq.m.),3,3,3+,8.0,North,Relatively New,1730.0,,,0,0,0,0,1,0,72
1866,flat,espire south,sector 68,1.32,9047.0,1459.0,Built Up area: 1460 (135.64 sq.m.),2,2,2,9.0,,New Property,,1460.0,,0,0,0,0,0,0,0
1868,flat,emaar palm gardens,sector 83,1.75,9211.0,1900.0,Super Built up area 1900(176.52 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3,3,3+,11.0,East,Relatively New,1900.0,,1240.04,0,1,0,0,0,0,120
1869,house,independent,sector 25,4.31,31926.0,1350.0,Plot area 150(125.42 sq.m.),5,4,3,3.0,North,Old Property,,1350.0,,0,0,0,0,0,0,40
1870,house,independent,sector 12,0.65,6500.0,1000.0,Carpet area: 1000 (92.9 sq.m.),6,2,3,1.0,,Undefined,,,1000.0,0,0,0,0,0,0,0
1871,flat,rof ananda,sector 95,0.32,5735.0,558.0,Carpet area: 549.16 (51.02 sq.m.),2,2,1,10.0,North,Relatively New,,,549.174178,0,0,0,1,0,1,50
1872,house,ansals palam vihar,sector 2,5.7,14729.0,3870.0,Plot area 430(359.53 sq.m.)Built Up area: 4550 sq.yards (3804.38 sq.m.)Carpet area: 4450 sq.yards (3720.77 sq.m.),5,5,2,2.0,North-East,Old Property,,4550.0,4450.0,0,0,0,1,0,2,94
1873,flat,emaar mgf the palm drive,sector 66,3.0,15385.0,1950.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1720 sq.ft. (159.79 sq.m.)Carpet area: 1620 sq.ft. (150.5 sq.m.),3,3,2,12.0,East,Relatively New,1950.0,1720.0,1620.0,0,1,0,0,0,0,96
1874,house,independent,sector 24,3.25,30374.0,1070.0,Plot area 1069.63(99.37 sq.m.),4,4,3,3.0,,Old Property,,1069.63,,0,0,0,0,0,0,15
1875,flat,krrish provence estate,gwal pahari,5.25,9052.0,5800.0,Super Built up area 5800(538.84 sq.m.),4,5,3+,2.0,North-East,New Property,5800.0,,,1,1,0,1,0,0,49
1876,flat,smart world orchard,sector 61,1.6,13913.0,1150.0,Carpet area: 1150 (106.84 sq.m.),2,2,2,3.0,,Under Construction,,,1150.0,1,0,0,0,0,0,37
1877,flat,ats triumph,sector 104,1.83,7991.0,2290.0,Super Built up area 2290(212.75 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),3,4,3+,10.0,North,Relatively New,2290.0,2000.0,1750.0,0,1,0,0,0,0,165
1878,house,signature global city 81,sector 81,0.75,6849.0,1095.0,Plot area 1095(101.73 sq.m.),3,2,3,4.0,East,Under Construction,,1095.0,,1,0,0,0,0,0,97
1879,flat,godrej frontier,sector 80,1.4,6189.0,2262.0,Super Built up area 2262(210.15 sq.m.)Built Up area: 1922 sq.ft. (178.56 sq.m.)Carpet area: 1634 sq.ft. (151.8 sq.m.),3,4,2,6.0,South,Moderately Old,2262.0,1922.0,1634.0,0,1,0,1,0,0,111
1881,house,independent,sector 14,4.15,18444.0,2250.0,Plot area 250(209.03 sq.m.),5,4,2,2.0,North-West,Old Property,,2250.0,,0,0,0,0,0,1,51
1882,flat,shree vardhman victoria,sector 70,1.65,8462.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1267 sq.ft. (117.71 sq.m.),3,4,3,1.0,North,Relatively New,1950.0,,1267.0,0,1,0,0,0,2,167
1883,flat,m3m the marina,sector 68,1.02,8095.0,1260.0,Super Built up area 1260(117.06 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2,2,2,11.0,North-East,Relatively New,1260.0,1250.0,800.0,0,0,0,0,1,1,49
1884,house,independent,sector 4,0.67,9795.0,684.0,Plot area 76(7.06 sq.m.),3,3,2,2.0,South,Relatively New,,76.0,,0,0,0,0,1,0,7
1885,house,international city by sobha phase 2,sector 109,6.25,10035.0,6228.0,Plot area 692(578.6 sq.m.),5,7,3+,3.0,North-East,Relatively New,,6228.0,,1,1,1,1,0,0,147
1886,house,international city by sobha phase 2,sector 109,9.5,26389.0,3600.0,Plot area 400(334.45 sq.m.),5,5,3+,2.0,South,Relatively New,,3600.0,,1,1,1,1,0,0,133
1887,house,central park flower valley cerise floors,sector 33,1.35,11157.0,1210.0,Built Up area: 1210 (112.41 sq.m.),2,2,2,4.0,East,New Property,,1210.0,,1,0,0,0,0,2,107
1888,flat,palam vihar extension west zone rwa,sector 2,0.2,4000.0,500.0,Carpet area: 500 (46.45 sq.m.),1,1,1,1.0,,Moderately Old,,,500.0,0,0,0,0,1,0,0
1889,flat,bestech park view spa next,sector 67,2.85,12128.0,2350.0,Super Built up area 2350(218.32 sq.m.),4,4,3+,5.0,South,Moderately Old,2350.0,,,0,1,0,1,0,1,149
1890,flat,pyramid urban,sector 67a,0.7,11844.0,591.0,Carpet area: 591 (54.91 sq.m.),2,2,1,14.0,North,New Property,,,591.0,0,0,0,0,0,0,44
1891,house,independent,sector 17,3.5,24306.0,1440.0,Built Up area: 160 (14.86 sq.m.),6,6,3+,3.0,North-West,Undefined,,160.0,,0,0,0,0,0,0,0
1892,flat,bestech park view ananda,sector 81,1.4,7735.0,1810.0,Super Built up area 1810(168.15 sq.m.)Carpet area: 1180 sq.ft. (109.63 sq.m.),3,3,3+,6.0,North-West,Relatively New,1810.0,,1180.0,0,0,0,0,0,0,95
1893,flat,tata primanti,sector 72,5.0,11111.0,4500.0,Built Up area: 4500 (418.06 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4,4,3+,2.0,North-East,Moderately Old,,4500.0,3500.0,1,1,0,1,1,1,174
1894,house,palam vihar extension west zone rwa,sector 2,0.65,5778.0,1125.0,Plot area 1125(104.52 sq.m.),2,2,1,1.0,North,Moderately Old,,1125.0,,0,0,1,0,0,0,23
1895,flat,ireo victory valley,sector 67,2.95,12110.0,2436.0,Super Built up area 2436(226.31 sq.m.)Built Up area: 2236 sq.ft. (207.73 sq.m.)Carpet area: 2036 sq.ft. (189.15 sq.m.),3,3,3+,14.0,South,Moderately Old,2436.0,2236.0,2036.0,0,1,0,1,0,1,165
1896,flat,breez global hill view,sohna road,0.42,7179.0,585.0,Carpet area: 585.41 (54.39 sq.m.),2,2,1,18.0,,Relatively New,,,585.448521,0,0,0,0,0,0,44
1897,flat,smriti apartment,sector 56,0.52,10656.0,488.0,Super Built up area 525(48.77 sq.m.),1,1,1,1.0,,Old Property,525.0,,,0,0,0,0,0,0,34
1898,flat,ss residency,sector 6,0.48,5333.0,900.0,Carpet area: 100 (83.61 sq.m.),3,2,2,2.0,,Moderately Old,,,100.0,0,0,0,0,0,0,54
1900,flat,smart world orchard,sector 61,2.3,14110.0,1630.0,Super Built up area 1630(151.43 sq.m.),3,3,2,2.0,,Under Construction,1630.0,,,1,0,0,0,0,0,79
1901,flat,puri emerald bay,sector 104,2.25,10465.0,2150.0,Super Built up area 2450(227.61 sq.m.)Carpet area: 2150 sq.ft. (199.74 sq.m.),3,4,3+,4.0,North,Relatively New,2450.0,,2150.0,0,1,0,0,0,1,159
1902,flat,chd avenue,sector 71,1.1,6790.0,1620.0,Super Built up area 1620(150.5 sq.m.),3,3,3,11.0,,Relatively New,1620.0,,,0,0,0,0,1,0,72
